"","ozempic_opinion","income_score","genetics","OZread","OZUSE_a_W142","partylean","gender","genetics_collapsed","opinion_collapsed"
"320","Some","Middle Income","Not too much","A little","Not sure","Republican","Female","Low","Some"
"321","Quite a bit","Lower Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"322","Some","Middle Income","Some","A lot","Yes","Republican","Male","Some","Some"
"323","Some","Upper Income","Some","A lot","Yes","Republican","Male","Some","Some"
"324","Quite a bit","Middle Income","A great deal","A little","Yes","Republican","Female","A great deal","A lot"
"325","Nothing at all","Lower Income","Not too much","A lot","Not sure","Democrat","Female","Low","Nothing at all"
"326","Some","Middle Income","A great deal","A little","Yes","Republican","Female","A great deal","Some"
"327","Some","Middle Income","Some","A little","Yes","Republican","Female","Some","Some"
"328","Some","Middle Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"329","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"330","Some","Upper Income","Some","A little","No","Republican","Male","Some","Some"
"331","Some","Upper Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"332","Nothing at all","Middle Income","Some","A lot","Not sure","Democrat","Female","Some","Nothing at all"
"333","Not too much","Lower Income","Some","A little","Not sure","Republican","Male","Some","Not too much"
"334","Not too much","Middle Income","Some","A little","Not sure","Democrat","Male","Some","Not too much"
"335","Not too much","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"336","Not too much","Middle Income","Some","A lot","Yes","Democrat","Male","Some","Not too much"
"337","Some","Middle Income","Some","A little","No","Republican","Male","Some","Some"
"338","Not too much","Middle Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Not too much"
"339","Some","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"340","Nothing at all","Lower Income","Quite a bit","A little","Not sure","Democrat","Female","Quite a bit","Nothing at all"
"341","Some","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Some"
"342","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"343","Some","Middle Income","Quite a bit","A lot","No","Democrat","Male","Quite a bit","Some"
"344","Quite a bit","Upper Income","Not too much","A little","Yes","Democrat","Male","Low","A lot"
"345","Not too much","Middle Income","Quite a bit","A little","Not sure","Democrat","Female","Quite a bit","Not too much"
"346","Not too much","Middle Income","Some","A little","No","Democrat","Female","Some","Not too much"
"347","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"348","Some","Middle Income","A great deal","A lot","Yes","Republican","Female","A great deal","Some"
"349","Some","Upper Income","Some","A lot","Not sure","Republican","Male","Some","Some"
"350","Quite a bit","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","A lot"
"351","Some","Middle Income","A great deal","A lot","Yes","Republican","Male","A great deal","Some"
"352","Quite a bit","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","A lot"
"353","Not too much","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"354","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"355","Quite a bit","Lower Income","Some","A lot","No","Democrat","Male","Some","A lot"
"356","Quite a bit","Upper Income","Some","A little","Yes","Democrat","Male","Some","A lot"
"357","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"358","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"359","Not too much","Middle Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"360","Nothing at all","Middle Income","Some","A little","Not sure","Republican","Male","Some","Nothing at all"
"361","Some","Middle Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"362","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"363","Not too much","Middle Income","Some","A little","Not sure","Republican","Male","Some","Not too much"
"364","Not too much","Middle Income","Quite a bit","A lot","Not sure","Republican","Male","Quite a bit","Not too much"
"365","Some","Upper Income","Some","A lot","No","Republican","Male","Some","Some"
"366","Some","Upper Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Some"
"367","Some","Upper Income","Some","A lot","No","Republican","Male","Some","Some"
"368","Nothing at all","Middle Income","Some","A little","Not sure","Republican","Female","Some","Nothing at all"
"369","Some","Middle Income","Some","A lot","Yes","Republican","Female","Some","Some"
"370","Some","Middle Income","Quite a bit","A lot","No","Democrat","Male","Quite a bit","Some"
"371","Some","Lower Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"372","Not too much","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Not too much"
"373","Some","Middle Income","Some","A little","No","Democrat","Female","Some","Some"
"374","Not too much","Upper Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"375","Quite a bit","Middle Income","A great deal","A lot","Not sure","Democrat","Male","A great deal","A lot"
"376","Some","Upper Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"377","Not too much","Middle Income","Not too much","A lot","No","Republican","Male","Low","Not too much"
"378","Some","Upper Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"379","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"380","Some","Upper Income","A great deal","A little","Yes","Republican","Male","A great deal","Some"
"381","Some","Middle Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Some"
"382","Not too much","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"383","Some","Upper Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"384","Some","Lower Income","Some","A little","Not sure","Democrat","Male","Some","Some"
"385","Not too much","Lower Income","A great deal","A little","Not sure","Democrat","Male","A great deal","Not too much"
"386","Not too much","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Not too much"
"387","Not too much","Middle Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"388","Not too much","Upper Income","Some","A lot","No","Republican","Male","Some","Not too much"
"389","Some","Middle Income","Some","A lot","Yes","Republican","Male","Some","Some"
"390","A great deal","Upper Income","A great deal","A little","Yes","Democrat","Male","A great deal","A lot"
"391","Quite a bit","Upper Income","Some","A lot","Yes","Republican","Male","Some","A lot"
"392","Some","Middle Income","Some","A little","Yes","Republican","Female","Some","Some"
"393","Some","Upper Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Some"
"394","Not too much","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"395","Some","Lower Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"396","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"397","Not too much","Middle Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"398","Not too much","Lower Income","A great deal","A little","Not sure","Democrat","Female","A great deal","Not too much"
"399","Not too much","Lower Income","Some","A little","No","Republican","Female","Some","Not too much"
"400","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"401","Quite a bit","Upper Income","A great deal","A little","Yes","Republican","Male","A great deal","A lot"
"402","Quite a bit","Middle Income","A great deal","A little","Yes","Republican","Male","A great deal","A lot"
"403","Some","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"404","Some","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"405","Some","Middle Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"406","Some","Upper Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Some"
"407","Some","Middle Income","Not too much","A little","No","Republican","Male","Low","Some"
"408","Not too much","Upper Income","Some","A little","No","Republican","Female","Some","Not too much"
"409","Some","Middle Income","A great deal","A lot","Yes","Republican","Male","A great deal","Some"
"410","Some","Upper Income","Not too much","A little","Yes","Democrat","Female","Low","Some"
"411","Some","Upper Income","A great deal","A lot","Yes","Republican","Male","A great deal","Some"
"412","Some","Middle Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Some"
"413","Some","Upper Income","A great deal","A little","Not sure","Republican","Male","A great deal","Some"
"414","Quite a bit","Middle Income","A great deal","A little","Yes","Republican","Female","A great deal","A lot"
"415","Not too much","Upper Income","Some","A lot","No","Republican","Male","Some","Not too much"
"416","Not too much","Middle Income","A great deal","A little","Yes","Democrat","Male","A great deal","Not too much"
"417","Some","Upper Income","A great deal","A lot","Yes","Republican","Female","A great deal","Some"
"418","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"419","Not too much","Upper Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"420","Some","Middle Income","Some","A little","No","Republican","Male","Some","Some"
"421","Some","Upper Income","Some","A little","Yes","Democrat","Male","Some","Some"
"422","Not too much","Middle Income","Quite a bit","A lot","Not sure","Republican","Female","Quite a bit","Not too much"
"423","Some","Upper Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"424","Quite a bit","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","A lot"
"425","Some","Middle Income","Some","A lot","Yes","Republican","Female","Some","Some"
"426","Nothing at all","Middle Income","Some","A lot","Not sure","Democrat","Male","Some","Nothing at all"
"427","A great deal","Lower Income","Some","A lot","Yes","Democrat","Female","Some","A lot"
"428","Some","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Some"
"429","Not too much","Middle Income","Some","A little","No","Democrat","Female","Some","Not too much"
"430","Quite a bit","Middle Income","Some","A lot","Yes","Democrat","Male","Some","A lot"
"431","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"432","Some","Lower Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"433","Not too much","Middle Income","A great deal","A little","Yes","Republican","Female","A great deal","Not too much"
"434","Quite a bit","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","A lot"
